[#|2013-08-29T14:01:10.715+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.717+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Device] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.718+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idFilePath] is being defaulted to: class entity.FilePath.|#]

[#|2013-08-29T14:01:10.719+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field taskList] is being defaulted to: class entity.Task.|#]

[#|2013-08-29T14:01:10.720+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.721+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Facture] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.721+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field interventionList] is being defaulted to: class entity.Intervention.|#]

[#|2013-08-29T14:01:10.722+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.CUser] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.723+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to one mapping element [field idFilePath] is being defaulted to: class entity.FilePath.|#]

[#|2013-08-29T14:01:10.724+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field taskList] is being defaulted to: class entity.Task.|#]

[#|2013-08-29T14:01:10.724+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.725+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field clientList] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.725+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.TUser] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.726+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Services] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.727+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.728+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.Task] is set to [FIELD].|#]

[#|2013-08-29T14:01:10.728+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idDevice] is being defaulted to: class entity.Device.|#]

[#|2013-08-29T14:01:10.729+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idClient] is being defaulted to: class entity.Client.|#]

[#|2013-08-29T14:01:10.730+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the many to one mapping element [field idUser] is being defaulted to: class entity.CUser.|#]

[#|2013-08-29T14:01:10.730+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The target entity (reference) class for the one to many mapping element [field interventionList] is being defaulted to: class entity.Intervention.|#]

[#|2013-08-29T14:01:10.732+0200|CONFIG|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.ejb_or_metadata|_ThreadID=25;_ThreadName=Thread-2;|The access type for the persistent class [class entity.FilePath] is set to [FIELD].|#]

